node_kind	node_name	file_path	start_line	inbound_count	edge_kinds
method	UnityReplayKit::sharedInstance	TODO/Unity/xcode_effectTest/Classes/Unity/UnityReplayKit.mm	127	32	calls
type_alias	jobsByVoidBlock	JobsByPods/JobsSwiftBlock@Pods/JobsSwiftBaseBlock.swift	19	32	calls
method	BRPickerPanel::present	JobsByPods/BRPickerViewSwift@Pods/UI/BRPickerPanel.swift	90	31	calls
method	JobsRichRun::color	JobsByPods/JobsTextTools@Pods/JobsRichText.swift	56	31	calls
method	JobsRichRun::font	JobsByPods/JobsTextTools@Pods/JobsRichText.swift	55	31	calls
method	UIButton::byImagePlacement	JobsByPods/JobsByUIKit@Pods/iOS.SDK/UIButton/UIButton+DSL.swift	466	31	calls
function	g_strdup	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/mono/mono/eglib/glib.h	307	31	calls
method	sparse_hashtable::bucket_count	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/google/sparsehash/internal/sparsehashtable.h	563	31	calls
method	String::add	JobsByPods/JobsByUIKit@Pods/iOS.SDK/String/String+通用工具.swift	21	30	calls
method	UITableView::jobs_blocksProxy	JobsByPods/JobsByUIKit@Pods/iOS.SDK/UITableView/UITableView.swift	219	30	calls
function	error_init	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/libil2cpp/debugger/il2cpp-api-debugger.cpp	42	30	calls
function	ProfilerBlock_Update	TODO/Unity/xcode_effectTest/Classes/Unity/InternalProfiler.cpp	39	29	calls
function	CORD_cat	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/bdwgc/cord/cordbscs.c	244	28	calls
method	UIGestureRecognizer::byConfig	JobsByPods/JobsByUIKit@Pods/iOS.SDK/UIGestureRecognizer/UIGestureRecognizer+Block.swift	26	28	calls
function	GC_size	TODO/Unity/xcode_effectTest/Il2CppOutputProject/IL2CPP/external/bdwgc/misc.c	466	27	calls
enum_member	APIResponse::CodingKeys::data	JobsByPods/JobsNetworking@Pods/Core/APIResponse.swift	26	26	calls
method	BRBasePicker::byPresent	JobsByPods/BRPickerViewSwift@Pods/Core/BRBasePicker.swift	132	26	calls
method	UIButton::StateProxy::title	JobsByPods/JobsByUIKit@Pods/iOS.SDK/UIButton/UIButton+DSL.swift	1006	26	calls
method	UIButton::byTitle	JobsByPods/JobsByUIKit@Pods/iOS.SDK/UIButton/UIButton+DSL.swift	699	26	calls
method	UIButton::byUpdateConfig	JobsByPods/JobsByUIKit@Pods/iOS.SDK/UIButton/UIButton+DSL.swift	854	26	calls
